"","HCDataOctetsOut","OctetsRetrans","HCDataOctetsIn","CurMSS","PipeSize","CurRTO","CongSignals","CurCwnd","CurSsthresh","Timeouts","CurRwinSent","MaxRwinSent","ZeroRwinSent","CurRwinRcvd","MaxRwinRcvd","ZeroRwinRcvd","MaxCaCwnd"
"HCDataOctetsOut",0,219,364,74,318,584,236,415,10,0,448,6,0,517,206,2,3
"OctetsRetrans",118,0,8,54,165,319,180,45,58,0,219,12,0,284,11,15,52
"HCDataOctetsIn",4,0,0,4,0,8,2,13,7,0,1,4,6,5,0,0,3
"CurMSS",1,1,2,0,3,5,2,9,1,0,1,2,0,3,11,1,1
"PipeSize",59,58,14,33,0,259,15,38,9,0,163,1,0,9,5,0,5
"CurRTO",16,21,11,12,98,0,24,86,12,0,8,9,0,28,5,0,13
"CongSignals",2,1,3,1,0,9,0,131,162,0,0,1,0,1,1,15,25
"CurCwnd",2,1,16,1,0,26,127,0,99,0,1,3,0,6,3,0,26
"CurSsthresh",0,0,3,7,0,19,75,24,0,0,6,4,0,13,2,0,71
"Timeouts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CurRwinSent",93,2,6,13,37,11,6,10,6,0,0,383,0,276,7,0,7
"MaxRwinSent",2,0,14,9,0,14,5,5,12,0,43,0,8,6,12,0,21
"ZeroRwinSent",0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"CurRwinRcvd",8,7,19,9,3,88,7,53,12,0,85,16,0,0,143,0,9
"MaxRwinRcvd",52,0,8,8,0,9,3,7,19,0,6,3,0,118,0,4,24
"ZeroRwinRcvd",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5
"MaxCaCwnd",1,0,10,4,0,8,5,13,58,0,5,5,0,10,1,4,0
